LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:31:45,0                 
Time,Ampl
-3.7053e-08,-0.0050128734
-3.6953e-08,-0.0050293888
-3.6853e-08,-0.0050415958
-3.6753e-08,-0.00504375
-3.6653e-08,-0.0050358513
-3.6553e-08,-0.0050243624
-3.6453e-08,-0.0050164637
-3.6353e-08,-0.0050207721
-3.6253e-08,-0.0050365694
-3.6153e-08,-0.0050573932
-3.6053e-08,-0.0050739085
-3.5953e-08,-0.0050782169
-3.5853e-08,-0.0050681641
-3.5753e-08,-0.0050509306
-3.5653e-08,-0.0050351333
-3.5553e-08,-0.005032261
-3.5453e-08,-0.0050444681
-3.5353e-08,-0.0050667279
-3.5253e-08,-0.0050897059
-3.5153e-08,-0.0051011949
-3.5053e-08,-0.0050968865
-3.4953e-08,-0.005079653
-3.4853e-08,-0.0050588293
-3.4753e-08,-0.00504375
-3.4653e-08,-0.0050415958
-3.4553e-08,-0.0050509306
-3.4453e-08,-0.0050660099
-3.4353e-08,-0.0050782169
-3.4253e-08,-0.0050818072
-3.4153e-08,-0.0050760627
-3.4053e-08,-0.0050652918
-3.3953e-08,-0.005055239
-3.3853e-08,-0.0050480584
-3.3753e-08,-0.0050430319
-3.3653e-08,-0.0050351333
-3.3553e-08,-0.0050207721
-3.3453e-08,-0.0050006664
-3.3353e-08,-0.0049798426
-3.3253e-08,-0.0049654814
-3.3153e-08,-0.0049633272
-3.3053e-08,-0.0049733801
-3.2953e-08,-0.0049898955
-3.2853e-08,-0.0050042567
-3.2753e-08,-0.0050092831
-3.2653e-08,-0.0050028205
-3.2553e-08,-0.0049891774
-3.2453e-08,-0.0049776884
-3.2353e-08,-0.0049748162
-3.2253e-08,-0.0049827148
-3.2153e-08,-0.0049970761
-3.2053e-08,-0.005008565
-3.1953e-08,-0.0050092831
-3.1853e-08,-0.0049977941
-3.1753e-08,-0.0049784065
-3.1653e-08,-0.004960455
-3.1553e-08,-0.0049518382
-3.1453e-08,-0.0049547105
-3.1353e-08,-0.0049640453
-3.1253e-08,-0.0049733801
-3.1153e-08,-0.0049748162
-3.1053e-08,-0.0049669175
-3.0953e-08,-0.0049554285
-3.0853e-08,-0.0049482479
-3.0753e-08,-0.0049518382
-3.0653e-08,-0.0049661994
-3.0553e-08,-0.004984869
-3.0453e-08,-0.0049977941
-3.0353e-08,-0.0049977941
-3.0253e-08,-0.0049834329
-3.0153e-08,-0.0049626091
-3.0053e-08,-0.0049453757
-2.9953e-08,-0.0049403493
-2.9853e-08,-0.004948966
-2.9753e-08,-0.0049626091
-2.9653e-08,-0.0049705078
-2.9553e-08,-0.0049633272
-2.9453e-08,-0.0049410673
-2.9353e-08,-0.004913063
-2.9253e-08,-0.0048936753
-2.9153e-08,-0.0048943934
-2.9053e-08,-0.0049180894
-2.8953e-08,-0.0049539924
-2.8853e-08,-0.0049863051
-2.8753e-08,-0.0049977941
-2.8653e-08,-0.0049819968
-2.8553e-08,-0.0049439396
-2.8453e-08,-0.004901574
-2.8353e-08,-0.0048714154
-2.8253e-08,-0.004865671
-2.8153e-08,-0.0048843405
-2.8053e-08,-0.0049144991
-2.7953e-08,-0.0049403493
-2.7853e-08,-0.004948966
-2.7753e-08,-0.0049381951
-2.7653e-08,-0.0049152171
-2.7553e-08,-0.0048943934
-2.7453e-08,-0.0048864947
-2.7353e-08,-0.0048965476
-2.7253e-08,-0.0049180894
-2.7153e-08,-0.0049403493
-2.7053e-08,-0.0049532744
-2.6953e-08,-0.0049532744
-2.6853e-08,-0.0049417854
-2.6753e-08,-0.0049288603
-2.6653e-08,-0.0049231158
-2.6553e-08,-0.0049302964
-2.6453e-08,-0.004948966
-2.6353e-08,-0.0049748162
-2.6253e-08,-0.0050013844
-2.6153e-08,-0.0050243624
-2.6053e-08,-0.0050415958
-2.5953e-08,-0.005055239
-2.5853e-08,-0.0050652918
-2.5753e-08,-0.0050710363
-2.5653e-08,-0.0050717544
-2.5553e-08,-0.0050667279
-2.5453e-08,-0.0050573932
-2.5353e-08,-0.0050494945
-2.5253e-08,-0.0050473403
-2.5153e-08,-0.005055239
-2.5053e-08,-0.0050717544
-2.4953e-08,-0.005091142
-2.4853e-08,-0.0051069393
-2.4753e-08,-0.0051126838
-2.4653e-08,-0.0051090935
-2.4553e-08,-0.005102631
-2.4453e-08,-0.0051019129
-2.4353e-08,-0.0051126838
-2.4253e-08,-0.0051363798
-2.4153e-08,-0.0051658203
-2.4053e-08,-0.0051916705
-2.3953e-08,-0.0052045956
-2.3853e-08,-0.0052002872
-2.3753e-08,-0.0051830538
-2.3653e-08,-0.00516223
-2.3553e-08,-0.0051471507
-2.3453e-08,-0.0051435604
-2.3353e-08,-0.0051521772
-2.3253e-08,-0.0051665384
-2.3153e-08,-0.0051816176
-2.3053e-08,-0.0051945427
-2.2953e-08,-0.0052053136
-2.2853e-08,-0.0052196749
-2.2753e-08,-0.0052390625
-2.2653e-08,-0.0052620404
-2.2553e-08,-0.0052821461
-2.2453e-08,-0.005292199
-2.2353e-08,-0.0052850184
-2.2253e-08,-0.0052627585
-2.2153e-08,-0.0052347541
-2.2053e-08,-0.0052117762
-2.1953e-08,-0.0052045956
-2.1853e-08,-0.0052160846
-2.1753e-08,-0.0052412167
-2.1653e-08,-0.0052677849
-2.1553e-08,-0.0052850184
-2.1453e-08,-0.0052857364
-2.1353e-08,-0.0052735294
-2.1253e-08,-0.0052541418
-2.1153e-08,-0.0052390625
-2.1053e-08,-0.0052326
-2.0953e-08,-0.0052326
-2.0853e-08,-0.005233318
-2.0753e-08,-0.0052275735
-2.0653e-08,-0.0052110581
-2.0553e-08,-0.0051866441
-2.0453e-08,-0.0051629481
-2.0353e-08,-0.0051471507
-2.0253e-08,-0.0051435604
-2.0153e-08,-0.0051493049
-2.0053e-08,-0.0051572036
-1.9953e-08,-0.0051586397
-1.9853e-08,-0.005150741
-1.9753e-08,-0.0051349437
-1.9653e-08,-0.0051198644
-1.9553e-08,-0.0051126838
-1.9453e-08,-0.0051169922
-1.9353e-08,-0.0051306353
-1.9253e-08,-0.0051435604
-1.9153e-08,-0.0051471507
-1.9053e-08,-0.0051370979
-1.8953e-08,-0.0051141199
-1.8853e-08,-0.0050875517
-1.8753e-08,-0.0050667279
-1.8653e-08,-0.0050581112
-1.8553e-08,-0.0050631376
-1.8453e-08,-0.0050753447
-1.8353e-08,-0.0050897059
-1.8253e-08,-0.0050997587
-1.8153e-08,-0.0051040671
-1.8053e-08,-0.0051069393
