LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:36:25,0                 
Time,Ampl
-3.705885e-08,-0.00586640329
-3.695885e-08,-0.00586936257
-3.685885e-08,-0.00587713068
-3.675885e-08,-0.00589081735
-3.665885e-08,-0.0059074633
-3.655885e-08,-0.00592225971
-3.645885e-08,-0.00593039773
-3.635885e-08,-0.00593002782
-3.625885e-08,-0.0059218898
-3.615885e-08,-0.0059107925
-3.605885e-08,-0.00590080492
-3.595885e-08,-0.00589525627
-3.585885e-08,-0.00589340672
-3.575885e-08,-0.00589229699
-3.565885e-08,-0.0058889678
-3.555885e-08,-0.00588119969
-3.545885e-08,-0.00586936257
-3.535885e-08,-0.00585715554
-3.525885e-08,-0.00584753788
-3.515885e-08,-0.00584272905
-3.505885e-08,-0.00584198923
-3.495885e-08,-0.00584272905
-3.485885e-08,-0.00584161932
-3.475885e-08,-0.0058371804
-3.465885e-08,-0.0058297822
-3.455885e-08,-0.00582275391
-3.445885e-08,-0.00581794508
-3.435885e-08,-0.00581683535
-3.425885e-08,-0.00581757517
-3.415885e-08,-0.0058186849
-3.405885e-08,-0.00581794508
-3.395885e-08,-0.00581572562
-3.385885e-08,-0.00581461589
-3.375885e-08,-0.00581831499
-3.365885e-08,-0.0058297822
-3.355885e-08,-0.00584864761
-3.345885e-08,-0.00587121212
-3.335885e-08,-0.00589192708
-3.325885e-08,-0.00590672348
-3.315885e-08,-0.0059144916
-3.305885e-08,-0.00591745088
-3.295885e-08,-0.00592151989
-3.285885e-08,-0.00593039773
-3.275885e-08,-0.00594630386
-3.265885e-08,-0.005966279
-3.255885e-08,-0.00598440459
-3.245885e-08,-0.00599550189
-3.235885e-08,-0.00599661162
-3.225885e-08,-0.00598921342
-3.215885e-08,-0.00597885594
-3.205885e-08,-0.00597182765
-3.195885e-08,-0.00597256747
-3.185885e-08,-0.00598070549
-3.175885e-08,-0.0059921727
-3.165885e-08,-0.00600142045
-3.155885e-08,-0.00600363991
-3.145885e-08,-0.00599809126
-3.135885e-08,-0.00598773378
-3.125885e-08,-0.00597774621
-3.115885e-08,-0.00597256747
-3.105885e-08,-0.00597330729
-3.095885e-08,-0.00597848603
-3.085885e-08,-0.00598366477
-3.075885e-08,-0.00598514441
-3.065885e-08,-0.00598144531
-3.055885e-08,-0.0059736772
-3.045885e-08,-0.00596590909
-3.035885e-08,-0.00596147017
-3.025885e-08,-0.00596220999
-3.015885e-08,-0.00596701882
-3.005885e-08,-0.00597182765
-2.995885e-08,-0.00597330729
-2.985885e-08,-0.00596923828
-2.975885e-08,-0.00595999053
-2.965885e-08,-0.00594815341
-2.955885e-08,-0.00593705611
-2.945885e-08,-0.00592965791
-2.935885e-08,-0.00592595881
-2.925885e-08,-0.00592447917
-2.915885e-08,-0.00592299953
-2.905885e-08,-0.00592004025
-2.895885e-08,-0.00591412169
-2.885885e-08,-0.00590672348
-2.875885e-08,-0.00589969519
-2.865885e-08,-0.00589525627
-2.855885e-08,-0.00589340672
-2.845885e-08,-0.00589488636
-2.835885e-08,-0.00589784564
-2.825885e-08,-0.00590043501
-2.815885e-08,-0.00590191465
-2.805885e-08,-0.00590080492
-2.795885e-08,-0.00589710582
-2.785885e-08,-0.00589155717
-2.775885e-08,-0.00588415897
-2.765885e-08,-0.00587713068
-2.755885e-08,-0.00587158203
-2.745885e-08,-0.00586936257
-2.735885e-08,-0.00587084221
-2.725885e-08,-0.00587713068
-2.715885e-08,-0.00588674834
-2.705885e-08,-0.00589784564
-2.695885e-08,-0.00590894295
-2.685885e-08,-0.00591856061
-2.675885e-08,-0.00592669863
-2.665885e-08,-0.00593372692
-2.655885e-08,-0.00594075521
-2.645885e-08,-0.00594815341
-2.635885e-08,-0.00595555161
-2.625885e-08,-0.00596184008
-2.615885e-08,-0.00596553918
-2.605885e-08,-0.00596590909
-2.595885e-08,-0.00596405954
-2.585885e-08,-0.00596184008
-2.575885e-08,-0.00596220999
-2.565885e-08,-0.00596590909
-2.555885e-08,-0.00597330729
-2.545885e-08,-0.00598255504
-2.535885e-08,-0.00599069306
-2.525885e-08,-0.00599550189
-2.515885e-08,-0.0059958718
-2.505885e-08,-0.00599254261
-2.495885e-08,-0.00598773378
-2.485885e-08,-0.00598366477
-2.475885e-08,-0.00598218513
-2.465885e-08,-0.00598255504
-2.455885e-08,-0.00598403468
-2.445885e-08,-0.00598366477
-2.435885e-08,-0.00598033558
-2.425885e-08,-0.00597293738
-2.415885e-08,-0.00596184008
-2.405885e-08,-0.00594815341
-2.395885e-08,-0.00593372692
-2.385885e-08,-0.00592004025
-2.375885e-08,-0.00590857304
-2.365885e-08,-0.00590080492
-2.355885e-08,-0.00589784564
-2.345885e-08,-0.00589969519
-2.335885e-08,-0.00590561375
-2.325885e-08,-0.00591264205
-2.315885e-08,-0.00591745088
-2.305885e-08,-0.00591671106
-2.295885e-08,-0.00590894295
-2.285885e-08,-0.00589488636
-2.275885e-08,-0.00587824041
-2.265885e-08,-0.00586381392
-2.255885e-08,-0.00585530599
-2.245885e-08,-0.00585345644
-2.235885e-08,-0.00585678563
-2.225885e-08,-0.00586011482
-2.215885e-08,-0.00586011482
-2.205885e-08,-0.00585345644
-2.195885e-08,-0.00584198923
-2.185885e-08,-0.00582904238
-2.175885e-08,-0.00582016454
-2.165885e-08,-0.00581794508
-2.155885e-08,-0.00582201409
-2.145885e-08,-0.00582830256
-2.135885e-08,-0.00583237157
-2.125885e-08,-0.0058297822
-2.115885e-08,-0.00582090436
-2.105885e-08,-0.00580832741
-2.095885e-08,-0.00579796993
-2.085885e-08,-0.00579427083
-2.075885e-08,-0.00579796993
-2.065885e-08,-0.00580610795
-2.055885e-08,-0.00581239643
-2.045885e-08,-0.00581202652
-2.035885e-08,-0.00580166903
-2.025885e-08,-0.00578354344
-2.015885e-08,-0.00576319839
-2.005885e-08,-0.00574692235
-1.995885e-08,-0.00573989406
-1.985885e-08,-0.00574211352
-1.975885e-08,-0.00575025154
-1.965885e-08,-0.00575875947
-1.955885e-08,-0.00576245857
-1.945885e-08,-0.00575949929
-1.935885e-08,-0.00575284091
-1.925885e-08,-0.00574692235
-1.915885e-08,-0.00574655244
-1.905885e-08,-0.00575358073
-1.895885e-08,-0.00576689749
-1.885885e-08,-0.00578243371
-1.875885e-08,-0.00579501065
-1.865885e-08,-0.00580203894
-1.855885e-08,-0.00580277876
-1.845885e-08,-0.00580018939
-1.835885e-08,-0.00579833984
-1.825885e-08,-0.0058005593
-1.815885e-08,-0.00580758759
-1.805885e-08,-0.00581794508
-1.795885e-08,-0.00582867247
-1.785885e-08,-0.00583681049
-1.775885e-08,-0.0058408795
-1.765885e-08,-0.00584161932
-1.755885e-08,-0.00584124941
-1.745885e-08,-0.00584235914
-1.735885e-08,-0.00584642815
-1.725885e-08,-0.00585345644
-1.715885e-08,-0.00586159446
-1.705885e-08,-0.00586936257
-1.695885e-08,-0.00587491122
-1.685885e-08,-0.00587713068
-1.675885e-08,-0.00587676077
-1.665885e-08,-0.00587491122
-1.655885e-08,-0.00587269176
-1.645885e-08,-0.00587121212
-1.635885e-08,-0.00587010239
-1.625885e-08,-0.00586936257
-1.615885e-08,-0.00586788293
-1.605885e-08,-0.00586529356
-1.595885e-08,-0.00586159446
-1.585885e-08,-0.00585678563
-1.575885e-08,-0.00585160689
-1.565885e-08,-0.00584753788
-1.555885e-08,-0.0058445786
-1.545885e-08,-0.00584346887
-1.535885e-08,-0.00584272905
-1.525885e-08,-0.00584161932
-1.515885e-08,-0.00583829013
-1.505885e-08,-0.00583200166
-1.495885e-08,-0.00582312382
-1.485885e-08,-0.00581202652
-1.475885e-08,-0.00580129912
-1.465885e-08,-0.00579353101
-1.455885e-08,-0.00578909209
-1.445885e-08,-0.00578835227
-1.435885e-08,-0.005789462
-1.425885e-08,-0.00578983191
-1.415885e-08,-0.00578798236
-1.405885e-08,-0.00578243371
-1.395885e-08,-0.00577429569
-1.385885e-08,-0.00576541785
-1.375885e-08,-0.00575801965
-1.365885e-08,-0.00575284091
-1.355885e-08,-0.00574951172
-1.345885e-08,-0.00574655244
-1.335885e-08,-0.00574174361
-1.325885e-08,-0.00573508523
-1.315885e-08,-0.00572620739
-1.305885e-08,-0.00571732955
-1.295885e-08,-0.00570993134
-1.285885e-08,-0.00570549242
-1.275885e-08,-0.00570364287
-1.265885e-08,-0.00570290305
-1.255885e-08,-0.00570179332
-1.245885e-08,-0.00569957386
-1.235885e-08,-0.00569661458
-1.225885e-08,-0.00569476503
-1.215885e-08,-0.00569550485
-1.205885e-08,-0.00569957386
-1.195885e-08,-0.00570623224
-1.185885e-08,-0.00571289063
-1.175885e-08,-0.00571695964
-1.165885e-08,-0.00571732955
-1.155885e-08,-0.00571474018
-1.145885e-08,-0.00571178089
-1.135885e-08,-0.00571178089
-1.125885e-08,-0.00571732955
-1.115885e-08,-0.00572842685
-1.105885e-08,-0.00574322325
-1.095885e-08,-0.00575801965
-1.085885e-08,-0.00577059659
-1.075885e-08,-0.00577947443
-1.065885e-08,-0.00578613281
-1.055885e-08,-0.00579242128
-1.045885e-08,-0.00580018939
-1.035885e-08,-0.00581017696
-1.025885e-08,-0.00582127427
-1.015885e-08,-0.00583052202
-1.005885e-08,-0.00583570076
-9.95885e-09,-0.00583644058
-9.85885e-09,-0.00583385121
-9.75885e-09,-0.00583089193
-9.65885e-09,-0.0058297822
-9.55885e-09,-0.00583163175
-9.45885e-09,-0.00583570076
-9.35885e-09,-0.00583976977
-9.25885e-09,-0.00584161932
-9.15885e-09,-0.0058408795
-9.05885e-09,-0.00583792022
-8.95885e-09,-0.00583570076
-8.85885e-09,-0.00583570076
-8.75885e-09,-0.00583829013
-8.65885e-09,-0.00584235914
-8.55885e-09,-0.00584605824
-8.45885e-09,-0.00584753788
-8.35885e-09,-0.00584679806
-8.25885e-09,-0.00584568833
-8.15885e-09,-0.00584753788
