LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 17:14:57,0                 
Time,Ampl
-2.16023e-07,-0.0067637063
-2.15923e-07,-0.006759398
-2.15823e-07,-0.006760116
-2.15723e-07,-0.0067680147
-2.15623e-07,-0.0067823759
-2.15523e-07,-0.0067974552
-2.15423e-07,-0.0068053539
-2.15323e-07,-0.0068024816
-2.15223e-07,-0.0067895565
-2.15123e-07,-0.006771605
-2.15023e-07,-0.0067586799
-2.14923e-07,-0.0067565257
-2.14823e-07,-0.0067672966
-2.14723e-07,-0.0067866843
-2.14623e-07,-0.0068046358
-2.14523e-07,-0.0068139706
-2.14423e-07,-0.0068096622
-2.14323e-07,-0.006794583
-2.14223e-07,-0.0067744773
-2.14123e-07,-0.0067565257
-2.14023e-07,-0.0067457548
-2.13923e-07,-0.0067428826
-2.13823e-07,-0.0067436006
-2.13723e-07,-0.0067450368
-2.13623e-07,-0.0067457548
-2.13523e-07,-0.0067471909
-2.13423e-07,-0.0067536535
-2.13323e-07,-0.0067680147
-2.13223e-07,-0.0067888385
-2.13123e-07,-0.0068103803
-2.13023e-07,-0.0068247415
-2.12923e-07,-0.0068254596
-2.12823e-07,-0.0068125345
-2.12723e-07,-0.0067924288
-2.12623e-07,-0.0067744773
-2.12523e-07,-0.0067680147
-2.12423e-07,-0.0067780676
-2.12323e-07,-0.0068024816
-2.12223e-07,-0.0068326402
-2.12123e-07,-0.0068599265
-2.12023e-07,-0.006877878
-2.11923e-07,-0.0068857767
-2.11823e-07,-0.006889367
-2.11723e-07,-0.0068943934
-2.11623e-07,-0.0069051643
-2.11523e-07,-0.0069216797
-2.11423e-07,-0.0069396312
-2.11323e-07,-0.0069518382
-2.11223e-07,-0.0069554285
-2.11123e-07,-0.0069511202
-2.11023e-07,-0.0069439396
-2.10923e-07,-0.0069403493
-2.10823e-07,-0.0069453757
-2.10723e-07,-0.0069597369
-2.10623e-07,-0.0069791245
-2.10523e-07,-0.0069977941
-2.10423e-07,-0.0070107192
-2.10323e-07,-0.0070157456
-2.10223e-07,-0.0070143095
