LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:49:01,0                 
Time,Ampl
-3.70446e-08,-0.0058454044
-3.69446e-08,-0.0058633559
-3.68446e-08,-0.0058834616
-3.67446e-08,-0.0058949506
-3.66446e-08,-0.0058913603
-3.65446e-08,-0.0058734088
-3.64446e-08,-0.0058489947
-3.63446e-08,-0.0058296071
-3.62446e-08,-0.0058224265
-3.61446e-08,-0.005828889
-3.60446e-08,-0.0058418141
-3.59446e-08,-0.0058497128
-3.58446e-08,-0.0058454044
-3.57446e-08,-0.0058274529
-3.56446e-08,-0.0058023208
-3.55446e-08,-0.0057829331
-3.54446e-08,-0.0057764706
-3.53446e-08,-0.0057850873
-3.52446e-08,-0.0057994485
-3.51446e-08,-0.0058080653
-3.50446e-08,-0.0057994485
-3.49446e-08,-0.0057721622
-3.48446e-08,-0.0057348231
-3.47446e-08,-0.0057010742
-3.46446e-08,-0.0056845588
-3.45446e-08,-0.0056895852
-3.44446e-08,-0.005710409
-3.43446e-08,-0.0057326689
-3.42446e-08,-0.0057420037
-3.41446e-08,-0.0057305147
-3.40446e-08,-0.0057025103
-3.39446e-08,-0.0056709157
-3.38446e-08,-0.0056500919
-3.37446e-08,-0.0056500919
-3.36446e-08,-0.0056687615
-3.35446e-08,-0.0056967659
-3.34446e-08,-0.0057190257
-3.33446e-08,-0.0057247702
-3.32446e-08,-0.0057125632
-3.31446e-08,-0.0056917394
-3.30446e-08,-0.0056730699
-3.29446e-08,-0.0056680434
-3.28446e-08,-0.0056788143
-3.27446e-08,-0.0056996381
-3.26446e-08,-0.0057190257
-3.25446e-08,-0.0057283605
-3.24446e-08,-0.0057247702
-3.23446e-08,-0.0057147174
-3.22446e-08,-0.0057075368
-3.21446e-08,-0.0057132812
-3.20446e-08,-0.0057326689
-3.19446e-08,-0.0057621094
-3.18446e-08,-0.0057879596
-3.17446e-08,-0.0058001666
-3.16446e-08,-0.005793704
-3.15446e-08,-0.0057707261
-3.14446e-08,-0.0057420037
-3.13446e-08,-0.0057197438
-3.12446e-08,-0.0057125632
-3.11446e-08,-0.0057211799
-3.10446e-08,-0.0057420037
-3.09446e-08,-0.0057649816
-3.08446e-08,-0.005781497
-3.07446e-08,-0.0057893957
-3.06446e-08,-0.0057879596
-3.05446e-08,-0.0057836512
-3.04446e-08,-0.005780779
-3.03446e-08,-0.0057822151
-3.02446e-08,-0.0057879596
-3.01446e-08,-0.0057944221
-3.00446e-08,-0.0057980124
-2.99446e-08,-0.0057958582
-2.98446e-08,-0.0057879596
-2.97446e-08,-0.0057757525
-2.96446e-08,-0.0057628274
-2.95446e-08,-0.0057506204
-2.94446e-08,-0.0057420037
-2.93446e-08,-0.0057376953
-2.92446e-08,-0.0057384134
-2.91446e-08,-0.0057434398
-2.90446e-08,-0.0057534926
-2.89446e-08,-0.0057649816
-2.88446e-08,-0.0057750345
-2.87446e-08,-0.0057800609
-2.86446e-08,-0.0057764706
-2.85446e-08,-0.0057642636
-2.84446e-08,-0.0057448759
-2.83446e-08,-0.0057240522
-2.82446e-08,-0.0057075368
-2.81446e-08,-0.00569892
-2.80446e-08,-0.0057003562
-2.79446e-08,-0.0057082548
-2.78446e-08,-0.0057190257
-2.77446e-08,-0.0057276425
-2.76446e-08,-0.0057319508
-2.75446e-08,-0.0057319508
-2.74446e-08,-0.0057305147
-2.73446e-08,-0.0057305147
-2.72446e-08,-0.0057355411
-2.71446e-08,-0.0057441579
-2.70446e-08,-0.0057534926
-2.69446e-08,-0.0057599552
-2.68446e-08,-0.0057599552
-2.67446e-08,-0.0057534926
-2.66446e-08,-0.0057420037
-2.65446e-08,-0.0057305147
-2.64446e-08,-0.0057254883
-2.63446e-08,-0.0057290786
-2.62446e-08,-0.0057420037
-2.61446e-08,-0.0057621094
-2.60446e-08,-0.0057829331
-2.59446e-08,-0.0058008847
-2.58446e-08,-0.0058109375
-2.57446e-08,-0.0058130917
-2.56446e-08,-0.0058087833
-2.55446e-08,-0.0058030388
-2.54446e-08,-0.0057994485
-2.53446e-08,-0.0058001666
-2.52446e-08,-0.0058059111
-2.51446e-08,-0.0058145278
-2.50446e-08,-0.0058224265
-2.49446e-08,-0.0058267348
-2.48446e-08,-0.0058252987
-2.47446e-08,-0.0058195542
-2.46446e-08,-0.0058109375
-2.45446e-08,-0.0058030388
-2.44446e-08,-0.0057972943
-2.43446e-08,-0.0057965763
-2.42446e-08,-0.0057994485
-2.41446e-08,-0.005805193
-2.40446e-08,-0.0058123736
-2.39446e-08,-0.0058181181
-2.38446e-08,-0.0058224265
-2.37446e-08,-0.0058245807
-2.36446e-08,-0.0058245807
-2.35446e-08,-0.0058238626
-2.34446e-08,-0.0058224265
-2.33446e-08,-0.0058202723
-2.32446e-08,-0.0058174
-2.31446e-08,-0.0058138097
-2.30446e-08,-0.0058109375
-2.29446e-08,-0.0058087833
-2.28446e-08,-0.0058073472
-2.27446e-08,-0.0058087833
-2.26446e-08,-0.0058109375
-2.25446e-08,-0.0058145278
-2.24446e-08,-0.0058181181
-2.23446e-08,-0.0058209903
-2.22446e-08,-0.0058224265
-2.21446e-08,-0.0058209903
-2.20446e-08,-0.005816682
-2.19446e-08,-0.0058095014
-2.18446e-08,-0.0057994485
-2.17446e-08,-0.0057886776
-2.16446e-08,-0.0057793428
-2.15446e-08,-0.0057750345
-2.14446e-08,-0.0057764706
-2.13446e-08,-0.0057850873
-2.12446e-08,-0.0057987305
-2.11446e-08,-0.0058130917
-2.10446e-08,-0.0058224265
