LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:50:17,0                 
Time,Ampl
-3.706038e-08,-0.0052709559
-3.696038e-08,-0.0052709559
-3.686038e-08,-0.005272392
-3.676038e-08,-0.0052738281
-3.666038e-08,-0.0052709559
-3.656038e-08,-0.0052623392
-3.646038e-08,-0.005248696
-3.636038e-08,-0.0052343348
-3.626038e-08,-0.005225
-3.616038e-08,-0.0052235639
-3.606038e-08,-0.0052314625
-3.596038e-08,-0.0052451057
-3.586038e-08,-0.0052594669
-3.576038e-08,-0.0052688017
-3.566038e-08,-0.0052709559
-3.556038e-08,-0.0052666475
-3.546038e-08,-0.0052594669
-3.536038e-08,-0.0052537224
-3.526038e-08,-0.0052515682
-3.516038e-08,-0.0052544405
-3.506038e-08,-0.0052594669
-3.496038e-08,-0.0052652114
-3.486038e-08,-0.0052688017
-3.476038e-08,-0.0052702378
-3.466038e-08,-0.0052709559
-3.456038e-08,-0.0052716739
-3.446038e-08,-0.005272392
-3.436038e-08,-0.005272392
-3.426038e-08,-0.0052709559
-3.416038e-08,-0.0052666475
-3.406038e-08,-0.005260185
-3.396038e-08,-0.0052530044
-3.386038e-08,-0.0052479779
-3.376038e-08,-0.0052472599
-3.366038e-08,-0.0052501321
-3.356038e-08,-0.0052558766
-3.346038e-08,-0.0052594669
-3.336038e-08,-0.0052580308
-3.326038e-08,-0.0052494141
-3.316038e-08,-0.0052336167
-3.306038e-08,-0.005213511
-3.296038e-08,-0.0051941234
-3.286038e-08,-0.0051790441
-3.276038e-08,-0.0051704274
-3.266038e-08,-0.0051675551
-3.256038e-08,-0.0051682732
-3.246038e-08,-0.0051689913
-3.236038e-08,-0.005166119
-3.226038e-08,-0.0051560662
-3.216038e-08,-0.0051402688
-3.206038e-08,-0.0051201631
-3.196038e-08,-0.0051007755
-3.186038e-08,-0.0050871324
-3.176038e-08,-0.0050813879
-3.166038e-08,-0.0050856962
-3.156038e-08,-0.0050964671
-3.146038e-08,-0.0051101103
-3.136038e-08,-0.0051208812
-3.126038e-08,-0.0051244715
-3.116038e-08,-0.0051201631
-3.106038e-08,-0.0051101103
-3.096038e-08,-0.0050993394
-3.086038e-08,-0.005094313
-3.076038e-08,-0.0050979033
-3.066038e-08,-0.0051101103
