LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:47:49,0                 
Time,Ampl
-3.70044e-08,-0.005675224
-3.69044e-08,-0.0056737879
-3.68044e-08,-0.0056730699
-3.67044e-08,-0.0056730699
-3.66044e-08,-0.0056723518
-3.65044e-08,-0.0056687615
-3.64044e-08,-0.0056615809
-3.63044e-08,-0.0056522461
-3.62044e-08,-0.0056450655
-3.61044e-08,-0.0056443474
-3.60044e-08,-0.0056500919
-3.59044e-08,-0.0056608628
-3.58044e-08,-0.0056716337
-3.57044e-08,-0.0056759421
-3.56044e-08,-0.0056730699
-3.55044e-08,-0.0056651712
-3.54044e-08,-0.0056601448
-3.53044e-08,-0.0056651712
-3.52044e-08,-0.0056845588
-3.51044e-08,-0.0057147174
-3.50044e-08,-0.0057470301
-3.49044e-08,-0.0057707261
-3.48044e-08,-0.0057764706
-3.47044e-08,-0.0057649816
-3.46044e-08,-0.0057420037
-3.45044e-08,-0.0057197438
-3.44044e-08,-0.0057075368
-3.43044e-08,-0.005710409
-3.42044e-08,-0.0057247702
-3.41044e-08,-0.0057420037
-3.40044e-08,-0.0057534926
-3.39044e-08,-0.0057549288
-3.38044e-08,-0.0057484662
-3.37044e-08,-0.0057420037
-3.36044e-08,-0.0057420037
-3.35044e-08,-0.0057520565
-3.34044e-08,-0.00576929
-3.33044e-08,-0.0057836512
-3.32044e-08,-0.0057879596
-3.31044e-08,-0.0057771886
-3.30044e-08,-0.0057534926
-3.29044e-08,-0.0057269244
-3.28044e-08,-0.0057075368
-3.27044e-08,-0.0057017923
-3.26044e-08,-0.0057096909
-3.25044e-08,-0.0057262063
-3.24044e-08,-0.0057420037
-3.23044e-08,-0.0057506204
-3.22044e-08,-0.0057506204
-3.21044e-08,-0.005745594
-3.20044e-08,-0.0057420037
-3.19044e-08,-0.0057448759
-3.18044e-08,-0.0057542107
-3.17044e-08,-0.0057664177
-3.16044e-08,-0.0057764706
-3.15044e-08,-0.0057800609
-3.14044e-08,-0.0057764706
-3.13044e-08,-0.00576929
-3.12044e-08,-0.0057649816
-3.11044e-08,-0.0057664177
-3.10044e-08,-0.0057743164
-3.09044e-08,-0.0057865234
-3.08044e-08,-0.0057994485
-3.07044e-08,-0.0058102194
-3.06044e-08,-0.0058195542
-3.05044e-08,-0.0058303251
-3.04044e-08,-0.0058454044
-3.03044e-08,-0.005864792
-3.02044e-08,-0.0058863339
-3.01044e-08,-0.0059042854
-3.00044e-08,-0.0059143382
-2.99044e-08,-0.0059157744
-2.98044e-08,-0.0059100299
-2.97044e-08,-0.0059042854
-2.96044e-08,-0.0059028493
-2.95044e-08,-0.0059093118
-2.94044e-08,-0.0059222369
-2.93044e-08,-0.0059365981
-2.92044e-08,-0.0059488051
-2.91044e-08,-0.0059552677
-2.90044e-08,-0.0059567038
-2.89044e-08,-0.0059574219
-2.88044e-08,-0.0059602941
-2.87044e-08,-0.0059667567
-2.86044e-08,-0.0059753734
-2.85044e-08,-0.0059818359
-2.84044e-08,-0.0059832721
-2.83044e-08,-0.0059789637
-2.82044e-08,-0.0059717831
-2.81044e-08,-0.0059646025
-2.80044e-08,-0.0059602941
-2.79044e-08,-0.005958858
-2.78044e-08,-0.0059574219
-2.77044e-08,-0.0059509593
-2.76044e-08,-0.0059373162
-2.75044e-08,-0.0059193647
-2.74044e-08,-0.0059035673
-2.73044e-08,-0.0058971048
-2.72044e-08,-0.0059028493
-2.71044e-08,-0.0059193647
-2.70044e-08,-0.0059394704
-2.69044e-08,-0.0059516774
-2.68044e-08,-0.0059488051
-2.67044e-08,-0.0059294175
-2.66044e-08,-0.0058985409
-2.65044e-08,-0.0058669462
-2.64044e-08,-0.0058454044
-2.63044e-08,-0.0058375057
-2.62044e-08,-0.0058418141
-2.61044e-08,-0.0058511489
-2.60044e-08,-0.0058568934
-2.59044e-08,-0.0058540211
-2.58044e-08,-0.0058439683
-2.57044e-08,-0.0058317613
-2.56044e-08,-0.0058224265
-2.55044e-08,-0.0058195542
-2.54044e-08,-0.0058224265
-2.53044e-08,-0.0058245807
-2.52044e-08,-0.0058224265
-2.51044e-08,-0.0058138097
-2.50044e-08,-0.0058008847
-2.49044e-08,-0.0057908318
-2.48044e-08,-0.0057879596
-2.47044e-08,-0.005793704
-2.46044e-08,-0.0058059111
-2.45044e-08,-0.005816682
-2.44044e-08,-0.0058224265
-2.43044e-08,-0.0058209903
-2.42044e-08,-0.005816682
-2.41044e-08,-0.0058152459
-2.40044e-08,-0.0058224265
-2.39044e-08,-0.0058396599
-2.38044e-08,-0.0058619198
-2.37044e-08,-0.0058813074
-2.36044e-08,-0.0058913603
-2.35044e-08,-0.0058899242
-2.34044e-08,-0.0058798713
-2.33044e-08,-0.0058705365
-2.32044e-08,-0.0058683824
-2.31044e-08,-0.005875563
-2.30044e-08,-0.0058884881
-2.29044e-08,-0.005899977
-2.28044e-08,-0.0059028493
-2.27044e-08,-0.0058963867
-2.26044e-08,-0.0058841797
-2.25044e-08,-0.005876281
-2.24044e-08,-0.0058798713
-2.23044e-08,-0.0058985409
-2.22044e-08,-0.0059272633
-2.21044e-08,-0.0059552677
-2.20044e-08,-0.0059717831
-2.19044e-08,-0.005970347
-2.18044e-08,-0.0059523955
-2.17044e-08,-0.0059265453
-2.16044e-08,-0.0059028493
-2.15044e-08,-0.0058899242
-2.14044e-08,-0.0058892061
