LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:46:05,0                 
Time,Ampl
-3.708684e-08,-0.0052149472
-3.698684e-08,-0.0051984318
-3.688684e-08,-0.0051905331
-3.678684e-08,-0.0051948415
-3.668684e-08,-0.0052084846
-3.658684e-08,-0.005225
-3.648684e-08,-0.005236489
-3.638684e-08,-0.0052386432
-3.628684e-08,-0.0052336167
-3.618684e-08,-0.0052271542
-3.608684e-08,-0.005225
-3.598684e-08,-0.0052300264
-3.588684e-08,-0.0052393612
-3.578684e-08,-0.0052472599
-3.568684e-08,-0.0052479779
-3.558684e-08,-0.0052407973
-3.548684e-08,-0.0052293084
-3.538684e-08,-0.0052221278
-3.528684e-08,-0.005225
-3.518684e-08,-0.0052379251
-3.508684e-08,-0.0052551585
-3.498684e-08,-0.0052680836
-3.488684e-08,-0.0052709559
-3.478684e-08,-0.0052623392
-3.468684e-08,-0.0052494141
-3.458684e-08,-0.0052422335
-3.448684e-08,-0.0052479779
-3.438684e-08,-0.0052680836
-3.428684e-08,-0.0052953699
-3.418684e-08,-0.0053190659
-3.408684e-08,-0.0053284007
-3.398684e-08,-0.005319784
-3.388684e-08,-0.0052982422
-3.378684e-08,-0.0052745462
-3.368684e-08,-0.0052594669
-3.358684e-08,-0.0052573127
-3.348684e-08,-0.0052659295
-3.338684e-08,-0.0052774184
-3.328684e-08,-0.0052824449
-3.318684e-08,-0.0052788545
-3.308684e-08,-0.0052702378
-3.298684e-08,-0.0052652114
-3.288684e-08,-0.0052709559
-3.278684e-08,-0.0052896255
-3.268684e-08,-0.0053140395
-3.258684e-08,-0.0053341452
-3.248684e-08,-0.0053398897
-3.238684e-08,-0.0053276827
-3.228684e-08,-0.0053039867
-3.218684e-08,-0.0052810087
-3.208684e-08,-0.0052709559
-3.198684e-08,-0.0052810087
-3.188684e-08,-0.005308295
-3.178684e-08,-0.00534348
-3.168684e-08,-0.0053743566
-3.158684e-08,-0.0053944623
-3.148684e-08,-0.0054037971
-3.138684e-08,-0.0054095416
-3.128684e-08,-0.0054203125
-3.118684e-08,-0.0054404182
-3.108684e-08,-0.0054669864
-3.098684e-08,-0.0054942727
-3.088684e-08,-0.0055122243
-3.078684e-08,-0.0055179687
-3.068684e-08,-0.0055143784
-3.058684e-08,-0.005509352
-3.048684e-08,-0.0055122243
-3.038684e-08,-0.0055265855
-3.028684e-08,-0.0055502815
-3.018684e-08,-0.0055746955
-3.008684e-08,-0.0055926471
-2.998684e-08,-0.0055998277
-2.988684e-08,-0.0055991096
-2.978684e-08,-0.0055976735
-2.968684e-08,-0.005604136
-2.958684e-08,-0.0056206514
-2.948684e-08,-0.0056429113
-2.938684e-08,-0.005663017
