LECROYHDO6104B,11090,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-May-2026 18:49:24,0                 
Time,Ampl
-3.709778e-08,-0.0054885283
-3.699778e-08,-0.0054928366
-3.689778e-08,-0.0054957089
-3.679778e-08,-0.0055007353
-3.669778e-08,-0.0055107881
-3.659778e-08,-0.0055265855
-3.649778e-08,-0.0055438189
-3.639778e-08,-0.0055581801
-3.629778e-08,-0.0055660788
-3.619778e-08,-0.0055675149
-3.609778e-08,-0.0055632066
-3.599778e-08,-0.0055581801
-3.589778e-08,-0.0055538718
-3.579778e-08,-0.0055517176
-3.569778e-08,-0.0055495634
-3.559778e-08,-0.0055466912
-3.549778e-08,-0.0055431009
-3.539778e-08,-0.0055402286
-3.529778e-08,-0.0055409467
-3.519778e-08,-0.0055466912
-3.509778e-08,-0.0055574621
-3.499778e-08,-0.0055696691
-3.489778e-08,-0.0055790039
-3.479778e-08,-0.0055811581
-3.469778e-08,-0.0055754136
-3.459778e-08,-0.0055639246
-3.449778e-08,-0.0055531537
-3.439778e-08,-0.0055466912
-3.429778e-08,-0.0055481273
-3.419778e-08,-0.005556744
-3.409778e-08,-0.0055689511
-3.399778e-08,-0.0055811581
-3.389778e-08,-0.0055904929
-3.379778e-08,-0.0055983915
-3.369778e-08,-0.0056055722
-3.359778e-08,-0.005615625
-3.349778e-08,-0.005627832
-3.339778e-08,-0.0056414752
-3.329778e-08,-0.0056536822
-3.319778e-08,-0.0056615809
-3.309778e-08,-0.0056658892
-3.299778e-08,-0.0056673254
-3.289778e-08,-0.0056694795
-3.279778e-08,-0.0056730699
-3.269778e-08,-0.0056766602
-3.259778e-08,-0.0056780963
-3.249778e-08,-0.0056730699
-3.239778e-08,-0.0056615809
-3.229778e-08,-0.0056465016
-3.219778e-08,-0.0056350126
-3.209778e-08,-0.0056314223
-3.199778e-08,-0.0056386029
-3.189778e-08,-0.0056544003
-3.179778e-08,-0.0056701976
-3.169778e-08,-0.0056788143
-3.159778e-08,-0.0056730699
-3.149778e-08,-0.0056544003
-3.139778e-08,-0.0056285501
-3.129778e-08,-0.0056048541
-3.119778e-08,-0.0055926471
-3.109778e-08,-0.0055933651
-3.099778e-08,-0.0056019818
-3.089778e-08,-0.0056120347
-3.079778e-08,-0.005615625
-3.069778e-08,-0.0056091625
-3.059778e-08,-0.0055962374
-3.049778e-08,-0.0055847484
-3.039778e-08,-0.0055811581
-3.029778e-08,-0.0055897748
-3.019778e-08,-0.0056077263
-3.009778e-08,-0.0056263959
-2.999778e-08,-0.0056386029
-2.989778e-08,-0.005639321
-2.979778e-08,-0.0056292682
-2.969778e-08,-0.0056149069
-2.959778e-08,-0.005604136
-2.949778e-08,-0.0056012638
-2.939778e-08,-0.0056055722
-2.929778e-08,-0.0056127528
-2.919778e-08,-0.005615625
-2.909778e-08,-0.0056091625
-2.899778e-08,-0.0055940832
-2.889778e-08,-0.0055746955
-2.879778e-08,-0.0055581801
-2.869778e-08,-0.0055488454
-2.859778e-08,-0.0055466912
-2.849778e-08,-0.0055481273
-2.839778e-08,-0.0055466912
-2.829778e-08,-0.0055373564
-2.819778e-08,-0.0055201229
-2.809778e-08,-0.0054985811
-2.799778e-08,-0.0054777574
-2.789778e-08,-0.0054633961
-2.779778e-08,-0.0054562155
-2.769778e-08,-0.0054547794
-2.759778e-08,-0.0054547794
-2.749778e-08,-0.0054519072
-2.739778e-08,-0.0054461627
-2.729778e-08,-0.005438264
-2.719778e-08,-0.0054318015
-2.709778e-08,-0.0054296473
-2.699778e-08,-0.0054303653
-2.689778e-08,-0.0054325195
-2.679778e-08,-0.0054318015
-2.669778e-08,-0.0054246209
-2.659778e-08,-0.0054102597
-2.649778e-08,-0.0053923081
-2.639778e-08,-0.0053743566
-2.629778e-08,-0.0053607135
-2.619778e-08,-0.005354969
-2.609778e-08,-0.005355687
-2.599778e-08,-0.0053628676
-2.589778e-08,-0.0053743566
-2.579778e-08,-0.0053887178
-2.569778e-08,-0.0054045152
-2.559778e-08,-0.0054203125
-2.549778e-08,-0.0054339557
-2.539778e-08,-0.0054418543
-2.529778e-08,-0.0054411363
-2.519778e-08,-0.0054318015
-2.509778e-08,-0.0054160041
-2.499778e-08,-0.0053987707
-2.489778e-08,-0.0053872817
-2.479778e-08,-0.0053858456
-2.469778e-08,-0.0053951804
-2.459778e-08,-0.0054116958
-2.449778e-08,-0.0054296473
-2.439778e-08,-0.0054432904
-2.429778e-08,-0.0054490349
-2.419778e-08,-0.0054483169
-2.409778e-08,-0.0054447266
-2.399778e-08,-0.0054432904
-2.389778e-08,-0.0054461627
-2.379778e-08,-0.0054519072
-2.369778e-08,-0.0054562155
-2.359778e-08,-0.0054547794
-2.349778e-08,-0.0054454446
-2.339778e-08,-0.0054296473
-2.329778e-08,-0.0054116958
-2.319778e-08,-0.0053973346
-2.309778e-08,-0.005390872
-2.299778e-08,-0.005390872
-2.289778e-08,-0.0053951804
-2.279778e-08,-0.0053973346
-2.269778e-08,-0.0053937443
-2.259778e-08,-0.0053829733
-2.249778e-08,-0.005367176
-2.239778e-08,-0.0053513787
-2.229778e-08,-0.0053391716
-2.219778e-08,-0.0053327091
-2.209778e-08,-0.0053298369
-2.199778e-08,-0.0053284007
-2.189778e-08,-0.0053248104
-2.179778e-08,-0.0053169118
-2.169778e-08,-0.0053061409
-2.159778e-08,-0.0052939338
-2.149778e-08,-0.005283881
-2.139778e-08,-0.0052788545
-2.129778e-08,-0.0052781365
-2.119778e-08,-0.0052824449
-2.109778e-08,-0.0052896255
-2.099778e-08,-0.0052989602
-2.089778e-08,-0.005308295
-2.079778e-08,-0.0053169118
-2.069778e-08,-0.0053226563
-2.059778e-08,-0.0053248104
-2.049778e-08,-0.0053226563
-2.039778e-08,-0.0053169118
-2.029778e-08,-0.0053104492
-2.019778e-08,-0.0053068589
-2.009778e-08,-0.0053090131
-1.999778e-08,-0.0053169118
-1.989778e-08,-0.0053298369
-1.979778e-08,-0.0053441981
-1.969778e-08,-0.005355687
-1.959778e-08,-0.0053628676
-1.949778e-08,-0.0053650218
-1.939778e-08,-0.0053657399
